,feature,fscore
69,num_comments,291.813752
68,is_contributor,165.1750406
67,participants_count,89.90532889
66,line_comments_count,85.50781428
65,deletions_per_week,70.68469699
64,additions_per_week,65.42584625
63,project_accept_rate,65.29555892
62,mergeable_state,45.41726365
61,user_accept_rate,43.47100882
60,is_responded,38.0142094
59,project_domain,33.74461549
58,latency_after_response,27.98133545
57,comments_words_count,26.67925554
56,wait_time,26.3588549
55,team_size,25.63222607
54,stars,23.5533798
53,language,21.22642845
52,assignees_count,20.14884557
51,sunday,20.13149611
50,contributor_num,19.24749495
49,watchers,17.67780171
48,at_mention,17.32147248
47,contributions,16.91195931
46,saturday,16.68728331
45,wednesday,15.86037722
44,label_count,14.6057893
43,commits_PR,13.85711233
42,PR_latency,13.83362125
41,comments_per_merged_PR,12.566155
40,is_core_member,12.47077145
39,comments_per_closed_PR,10.61228755
38,Thursday,9.845003011
37,Tuesday,9.389963614
36,Monday,9.059079759
35,Files_Changed,8.703579021
34,Open_Issues,8.434395913
33,Forks_Count,8.169738801
32,Close_Latency,7.277448711
31,Churn_Average,7.136455769
30,Closed_Num_Rate,6.723898521
29,Merge_Latency,6.723799041
28,Workload,6.621826174
27,Project_Age,6.401262674
26,Accept_Num,6.301499046
25,src_churn,5.983565309
24,first_response_time,5.974499053
23,Followers,5.442784008
22,Intra_Branch,5.400547358
21,Friday,5.055683225
20,Prev_PRs,4.526705853
19,Contain_Fix_Bug,4.496643512
18,X1_4,4.215624953
17,Public_Repos,4.125755551
16,Commits_Average,4.103046519
15,X1_3,4.017694498
14,Closed_Num,3.955082681
13,File_Touched_Average,3.885513053
12,Following,3.711022636
11,X1_1,3.171535068
10,X1_5,3.106425058
9,X1_2,2.848076924
8,title_words_count,2.834083728
7,X1_8,2.786957212
6,X1_6,2.766590596
5,X1_7,2.75734941
4,X1_9,2.7317221
3,body_words_count,2.716091308
2,Point_To_IssueOrPR,2.450051557
1,X1_0,2.440958255
0,Day,2.38048297
